asset_id,maintenance_date,maintenance_type,component,description,maintenance_status
ENG-084,2025-01-30,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-084,2025-04-29,COMPONENT_REPLACEMENT,Fuel System,Component replacement completed,COMPLETED
ENG-085,2025-03-24,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-085,2025-05-19,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-085,2025-09-01,CORRECTIVE,Turbine,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-086,2025-03-19,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-086,2025-07-13,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-086,2025-10-30,INSPECTION,Bearings,Routine engine inspection completed,COMPLETED
ENG-086,2026-02-08,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-087,2025-03-30,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-087,2025-06-11,INSPECTION,Fuel System,Routine engine inspection completed,COMPLETED
ENG-087,2025-09-12,PREVENTIVE,Fan,Preventive maintenance completed per service schedule,COMPLETED
ENG-087,2026-01-16,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-087,2026-04-13,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-088,2025-02-22,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-088,2025-04-20,PREVENTIVE,Oil System,Preventive maintenance completed per service schedule,COMPLETED
ENG-089,2025-02-13,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-089,2025-05-23,CORRECTIVE,LPC,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-089,2025-10-06,INSPECTION,Bearings,Routine engine inspection completed,COMPLETED
ENG-090,2025-02-20,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-090,2025-04-29,INSPECTION,Fuel System,Routine engine inspection completed,COMPLETED
ENG-090,2025-09-23,PREVENTIVE,Fan,Preventive maintenance completed per service schedule,COMPLETED
ENG-090,2025-12-15,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-091,2025-02-01,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-091,2025-07-02,PREVENTIVE,Oil System,Preventive maintenance completed per service schedule,COMPLETED
ENG-091,2025-10-30,COMPONENT_REPLACEMENT,Turbine,Component replacement completed,COMPLETED
ENG-091,2026-01-17,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-091,2026-04-27,INSPECTION,Fuel System,Routine engine inspection completed,COMPLETED
ENG-092,2025-02-07,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-092,2025-07-03,CORRECTIVE,LPC,Scheduled maintenance cancelled,CANCELLED
ENG-093,2025-02-28,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-093,2025-05-17,INSPECTION,Fuel System,Routine engine inspection completed,COMPLETED
ENG-093,2025-08-24,PREVENTIVE,Fan,Preventive maintenance completed per service schedule,COMPLETED
ENG-094,2025-02-19,COMPONENT_REPLACEMENT,Combustor,Component replacement completed,COMPLETED
ENG-094,2025-04-20,PREVENTIVE,Oil System,Preventive maintenance completed per service schedule,COMPLETED
ENG-094,2025-07-31,INSPECTION,Turbine,Routine engine inspection completed,COMPLETED
ENG-094,2025-10-02,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-095,2025-03-25,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-095,2025-08-06,CORRECTIVE,LPC,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-095,2025-11-13,PREVENTIVE,Bearings,Preventive maintenance completed per service schedule,COMPLETED
ENG-095,2026-04-02,COMPONENT_REPLACEMENT,Combustor,Component replacement completed,COMPLETED
ENG-095,2026-06-03,PREVENTIVE,Oil System,Scheduled inspection,SCHEDULED
ENG-096,2025-03-11,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-096,2025-05-07,INSPECTION,Fuel System,Routine engine inspection completed,COMPLETED
ENG-097,2025-02-11,COMPONENT_REPLACEMENT,Combustor,Component replacement completed,COMPLETED
ENG-097,2025-04-08,PREVENTIVE,Oil System,Preventive maintenance completed per service schedule,COMPLETED
ENG-097,2025-06-06,INSPECTION,Turbine,Routine engine inspection completed,COMPLETED
ENG-098,2025-02-13,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-098,2025-07-12,CORRECTIVE,LPC,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-098,2025-11-12,PREVENTIVE,Bearings,Preventive maintenance completed per service schedule,COMPLETED
ENG-098,2026-02-13,COMPONENT_REPLACEMENT,Combustor,Component replacement completed,COMPLETED
ENG-099,2025-03-29,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-099,2025-07-13,INSPECTION,Fuel System,Routine engine inspection completed,COMPLETED
ENG-099,2025-09-19,CORRECTIVE,Fan,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-099,2026-02-01,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-099,2026-06-06,CORRECTIVE,LPC,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-100,2025-02-14,INSPECTION,Combustor,Routine engine inspection completed,COMPLETED
ENG-100,2025-06-19,PREVENTIVE,Oil System,Preventive maintenance completed per service schedule,COMPLETED
